epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09634,1.29563,3.19277,3.36852,1.5092,0.18672,0.25,0.14245,0.094,0.18672,0.25,0.14199,0.0973,1.54646,2.212,3.68963,1.81945,8.335e-05,8.335e-05,8.335e-05
2,8.69363,1.12952,2.44353,2.62693,1.37788,0.76131,0.425,0.39164,0.2814,0.76131,0.425,0.38649,0.28767,1.029,1.65567,4.70644,1.40787,0.000181555,0.000181555,0.000181555
3,12.2124,0.855,1.57634,1.67098,1.1654,0.4644,0.45,0.39901,0.26003,0.4644,0.45,0.39901,0.26157,1.17318,1.71098,3.4512,1.60631,0.000277779,0.000277779,0.000277779
4,15.6726,0.85254,1.50607,1.32221,1.13474,0.49816,0.6,0.49695,0.29633,0.49816,0.6,0.49613,0.31636,1.33392,1.81178,3.7361,1.61689,0.000372023,0.000372023,0.000372023
5,19.1022,0.80772,1.47228,1.34022,1.11568,0.45653,0.625,0.52938,0.33746,0.45653,0.625,0.52656,0.34325,1.19678,2.10635,3.83162,1.45132,0.000464286,0.000464286,0.000464286
6,22.6295,0.84759,1.47872,1.25653,1.11018,0.39846,0.6693,0.45146,0.34043,0.39846,0.6693,0.4343,0.29688,1.09352,2.19775,8.61565,1.47863,0.000554569,0.000554569,0.000554569
7,26.0134,0.87478,1.47238,1.37793,1.17232,0.875,0.225,0.31594,0.19958,0.875,0.225,0.30531,0.18145,1.27699,2.71907,5.6809,1.75539,0.000642872,0.000642872,0.000642872
8,29.3852,0.84737,1.47892,1.12696,1.10293,0.65128,0.4,0.4196,0.29603,0.82895,0.35,0.35262,0.27647,2.32649,3.72102,3.37427,3.0429,0.000729194,0.000729194,0.000729194
9,32.8026,0.96558,1.72728,1.18601,1.2203,0.45833,0.3,0.24774,0.12181,0.45833,0.3,0.23538,0.06575,2.44007,6.24761,17.3954,3.28604,0.000813536,0.000813536,0.000813536
10,36.1825,0.87986,1.55012,1.08809,1.12195,0.20833,0.275,0.19059,0.14046,0.29167,0.3,0.22378,0.13368,2.45672,4.70867,13.9036,3.24893,0.000895897,0.000895897,0.000895897
11,39.5042,0.87466,1.53095,1.09368,1.12609,0.52165,0.25,0.25575,0.15596,0.52165,0.25,0.20575,0.12154,2.52205,5.42141,4.82343,3.25009,0.000976279,0.000976279,0.000976279
12,42.8689,0.84956,1.472,0.96197,1.11197,0.24632,0.325,0.15947,0.06437,0.27574,0.45,0.16144,0.05653,2.38519,7.03149,16.3259,3.01532,0.00105468,0.00105468,0.00105468
13,46.2084,0.84488,1.35933,0.93029,1.10456,0.14148,0.45,0.13207,0.05129,0.10055,0.35,0.09956,0.0412,2.68466,5.42189,7.13524,3.51812,0.0011311,0.0011311,0.0011311
14,49.556,0.87758,1.60015,0.95323,1.15357,0.36518,0.375,0.15067,0.10054,0.35198,0.25,0.12976,0.07008,2.40862,5.78074,9.86352,3.16647,0.00120554,0.00120554,0.00120554
15,52.8557,0.88217,1.4503,0.94786,1.13234,0.21698,0.3,0.18012,0.11577,0.40628,0.25,0.1587,0.08481,2.5887,6.00674,11.8886,3.41095,0.001278,0.001278,0.001278
